"PVWatts Hourly PV Performance Data"
"Requested Location","52242, USA"
"Location","Lat, Lng: 41.65, -91.54"
"Latitude (DD)","41.65"
"Longitude (DD)","-91.54"
"Elevation (m)","207.75999450684"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","30"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","12","21","0","0","-2","4.2","0.87","0","-2","0","0"
"1","12","22","0","0","-2","4.5","0.87","0","-2","0","0"
"1","12","23","0","0","-3","4.5","0.87","0","-3","0","0"
"1","13","0","0","0","-3","4.3","0.87","0","-3","0","0"
"1","13","1","0","0","-4","4","0.87","0","-4","0","0"
"1","13","2","0","0","-4","4.2","0.87","0","-4","0","0"
"1","13","3","0","0","-4","4.6","0.87","0","-4","0","0"
"1","13","4","0","0","-4","4.8","0.87","0","-4","0","0"
"1","13","5","0","0","-5","4.9","0.87","0","-5","0","0"
"1","13","6","0","0","-5","4.7","0.87","0","-5","0","0"
"1","13","7","0","0","-5","4.9","0.87","0","-5","0","0"
"1","13","8","418","54","-4","5.3","0.87","231.912","-0.637","834.577","789.151"
"1","13","9","653","86","-3","5.3","0.87","525.996","4.728","1978.085","1892.14"
"1","13","10","764","104","-2","5.1","0.87","726.19","8.927","2685.462","2574.452"
"1","13","11","814","113","-1","5.1","0.87","842.128","11.659","3069.147","2944.541"
"1","13","12","355","177","-1","5.2","0.87","519.804","6.703","1915.51","1831.782"
"1","13","13","786","112","-1","5.2","0.87","790.725","10.745","2897.306","2778.789"
"1","13","14","323","124","-1","5","0.87","377.542","4.747","1405.94","1340.268"
"1","13","15","182","81","-2","4.3","0.87","200.771","1.344","740.278","698.193"
"1","13","16","39","24","-3","3.3","0.87","42.62","-2.295","97.107","77.812"
"1","13","17","0","0","-4","3.2","0.87","0","-4","0","0"
